RTCM-Ref 0049,545274.872,6300016.713,82.185,,
1n1,539821.359,6307678.512,24.411,,
1n2,539820.874,6307679.006,24.172,,
1n3,539820.287,6307679.067,23.929,,
1n4,539819.939,6307679.204,23.260,,
1n5,539819.420,6307679.442,23.158,,
1n6,539819.013,6307679.619,23.133,,
1n7,539818.510,6307679.881,23.124,,
1n8,539818.088,6307680.100,23.048,,
1n9,539817.597,6307680.310,23.033,,
1n10,539817.202,6307680.499,23.035,,
1n11,539816.879,6307680.654,23.038,,
1n12,539816.739,6307680.682,23.659,,
1n13,539816.386,6307680.979,23.827,,
1n14,539815.781,6307681.349,23.959,,
1n15,539815.202,6307681.349,24.151,,
1n16,539814.638,6307681.350,24.324,,
1n17,539813.724,6307681.480,24.510,,
vsp1,539818.361,6307679.339,23.415,,
2n1,539818.150,6307670.619,23.866,,
2n2,539817.697,6307670.870,23.793,,
2n3,539817.285,6307671.043,23.590,,
2n4,539817.008,6307671.267,22.928,,
2n5,539816.580,6307671.565,22.797,,
2n6,539816.128,6307671.911,22.714,,
2n7,539815.768,6307672.252,22.673,,
2n8,539815.386,6307672.516,22.631,,
2n9,539815.007,6307672.762,22.698,,
2n10,539814.826,6307673.066,22.870,,
2n11,539814.577,6307673.316,23.091,,
2n12,539814.419,6307673.414,23.248,,
2n13,539814.189,6307673.434,23.498,,
2n14,539813.840,6307673.625,23.549,,
2n15,539813.158,6307674.114,23.814,,
2n16,539812.346,6307674.710,24.088,,
3n1,539781.243,6307653.206,23.910,,
3n2,539781.189,6307653.744,23.749,,
3n3,539781.125,6307654.068,22.935,,
3n4,539781.123,6307654.241,22.719,,
3n5,539781.017,6307654.742,22.613,,
3n6,539780.876,6307655.163,22.686,,
3n7,539780.699,6307655.631,22.698,,
3n8,539780.598,6307655.912,22.719,,
3n9,539780.497,6307656.064,22.918,,
3n10,539780.387,6307656.324,23.188,,
3n11,539780.335,6307656.584,23.304,,
3n12,539780.402,6307657.179,23.716,,
3n13,539780.196,6307657.881,23.724,,
3n14,539780.503,6307660.355,24.009,,
4n1,539752.692,6307682.713,24.199,,
4n2,539752.500,6307681.638,23.999,,
4n3,539752.186,6307680.007,23.687,,
4n4,539752.165,6307679.521,23.128,,
4n5,539751.989,6307679.039,22.934,,
4n6,539751.844,6307678.448,22.852,,
4n7,539751.786,6307677.759,22.750,,
4n8,539751.824,6307677.302,22.803,,
4n9,539751.652,6307676.603,22.849,,
4n10,539751.586,6307676.054,23.042,,
4n11,539751.541,6307675.442,23.296,,
vsp4,539751.543,6307675.197,23.521,,
4n20,539751.661,6307674.328,23.737,,
4n21,539750.928,6307671.086,23.849,,
5n1,539754.534,6307660.543,24.179,,
5n2,539754.028,6307660.265,23.879,,
5n3,539753.597,6307659.996,23.253,,
5n4,539753.220,6307659.746,22.896,,
5n5,539752.861,6307659.367,22.810,,
5n6,539752.495,6307658.998,22.858,,
5n7,539752.137,6307658.568,22.879,,
5n8,539751.674,6307658.163,22.959,,
5n9,539751.271,6307657.869,23.012,,
5n10,539750.965,6307657.581,23.294,,
5n11,539750.546,6307657.215,23.344,,
5n12,539750.212,6307656.959,23.350,,
5n13,539749.955,6307656.788,23.720,,
5n14,539749.139,6307655.885,23.817,,
5n15,539746.916,6307653.701,24.091,,
6n1,539746.739,6307631.858,24.025,,
6n2,539747.716,6307631.893,23.849,,
6n3,539748.272,6307631.791,22.802,,
6n4,539748.753,6307631.771,22.810,,
6n5,539749.184,6307631.725,22.830,,
6n6,539749.655,6307631.670,22.943,,
6n7,539750.324,6307631.677,22.909,,
6n8,539750.889,6307631.593,22.992,,
6n9,539751.545,6307631.335,23.247,,
6n10,539751.764,6307631.279,23.717,,
6n11,539754.251,6307630.736,23.893,,
7n1,539776.262,6307622.376,24.275,,
7n2,539775.476,6307621.811,24.159,,
7n3,539775.191,6307621.546,23.882,,
7n4,539774.870,6307621.411,23.347,,
7n5,539774.310,6307621.167,23.187,,
7n6,539773.721,6307620.832,22.973,,
